"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS"
"b","yes","yes","bilabial","i","b","i","bibi"
"b","yes","yes","bilabial","i","f","i","bifi"
"b","yes","yes","bilabial","i","p","i","bipi"
"b","yes","yes","bilabial","i","s","i","bisi"
"b","yes","yes","bilabial","u","v","i","buvi"
"b","yes","yes","bilabial","i","v","i","bivi"
"b","yes","yes","bilabial","u","s","i","busi"
"b","yes","yes","bilabial","u","d","i","budi"
"b","yes","yes","bilabial","i","d","i","bidi"
"b","yes","yes","bilabial","u","f","i","bufi"
"b","yes","yes","bilabial","u","z","i","buzi"
"b","yes","yes","bilabial","i","z","i","bizi"
"b","yes","yes","bilabial","u","t","i","buti"
"b","yes","yes","bilabial","i","t","i","biti"
"b","yes","yes","bilabial","u","b","i","bubi"
"b","yes","yes","bilabial","u","d","a","buda"
"b","yes","yes","bilabial","a","s","u","basu"
"b","yes","yes","bilabial","i","z","u","bizu"
"b","yes","yes","bilabial","a","p","i","bapi"
"b","yes","yes","bilabial","u","p","i","bupi"
"b","yes","yes","bilabial","u","b","u","bubu"
"b","yes","yes","bilabial","a","f","i","bafi"
"b","yes","yes","bilabial","i","f","a","bifa"
"b","yes","yes","bilabial","u","s","a","busa"
"b","yes","yes","bilabial","a","z","u","bazu"
"b","yes","yes","bilabial","u","p","u","bupu"
"b","yes","yes","bilabial","a","b","i","babi"
"b","yes","yes","bilabial","i","b","a","biba"
"b","yes","yes","bilabial","u","f","u","bufu"
"b","yes","yes","bilabial","a","v","i","bavi"
"b","yes","yes","bilabial","i","v","a","biva"
"b","yes","yes","bilabial","u","z","a","buza"
"b","yes","yes","bilabial","i","p","a","bipa"
"b","yes","yes","bilabial","i","d","a","bida"
"b","yes","yes","bilabial","a","b","a","baba"
"b","yes","yes","bilabial","a","z","i","bazi"
"b","yes","yes","bilabial","u","v","u","buvu"
"b","yes","yes","bilabial","a","t","i","bati"
"b","yes","yes","bilabial","i","t","a","bita"
"b","yes","yes","bilabial","a","p","a","bapa"
"b","yes","yes","bilabial","a","s","i","basi"
"b","yes","yes","bilabial","i","s","a","bisa"
"b","yes","yes","bilabial","a","f","a","bafa"
"b","yes","yes","bilabial","i","p","u","bipu"
"b","yes","yes","bilabial","u","t","u","butu"
"b","yes","yes","bilabial","a","d","i","badi"
"b","yes","yes","bilabial","i","f","u","bifu"
"b","yes","yes","bilabial","u","s","u","busu"
"b","yes","yes","bilabial","a","s","a","basa"
"b","yes","yes","bilabial","i","z","a","biza"
"b","yes","yes","bilabial","a","v","a","bava"
"b","yes","yes","bilabial","i","b","u","bibu"
"b","yes","yes","bilabial","u","d","u","budu"
"b","yes","yes","bilabial","a","d","a","bada"
"b","yes","yes","bilabial","i","v","u","bivu"
"b","yes","yes","bilabial","u","z","u","buzu"
